Учебна седмица;Тема;Вид;Бележки;
1;Вектор. Определение;ОС;;
1;Вектор. Действия с вектори;ОС;;
2;Линейна зависимост и независимост на вектори в равнината и пространството;НЗ;;
2;Линейна зависимост и независимост на вектори в равнината и пространството. У;УПР;;
3;Векторна база в равнината и пространството;НЗ;;
3;Векторна база в равнината и пространството. У;УПР;;
4;Скаларно произведение на два вектора. Приложение;НЗ;;
4;Скаларно произведение на два вектора. Приложение . У;УПР;;
5;Координати на вектор в равнинна правоъгълна координатна система;НЗ;;
5;Координати на вектор в равнинна правоъгълна координатна система. У;УПР;;
6;Координати на вектор в равнинна правоъгълна координатна система. У;УПР;;
6;Координати на вектор в равнинна правоъгълна координатна система. У;УПР;;
7;Операции с вектори, зададени с координати;НЗ;;
7;Операции с вектори, зададени с координати. У;УПР;;
8;Работа със софтуерен продукт;НЗ;;
8;Работа със софтуерен продукт. У;УПР;;
9;Обобщение на темата „Вектори и координати“;ОС;;
9;Обобщение на темата „Вектори и координати“;ОС;;
10;Тестове върху темата „Вектори и координати“;ОС;;
10;Тестове върху темата „Вектори и координати“;ОС;;
11;Уравнение на права. Общо уравнение на права;НЗ;;
11;Уравнение на права през две точки;НЗ;;
12;Декартово уравнение на права;НЗ;;
12;Декартово уравнение на права. У;УПР;;
13;Взаимно положение на две прави;НЗ;;
13;Взаимно положение на две прави. У;УПР;;
14;Приложение на векторите в аналитичната геометрия за решаване на триъгълник;НЗ;;
14;Приложение на векторите в аналитичната геометрия за решаване на триъгълник . У;УПР;;
15;Приложение на векторите в аналитичната геометрия за решаване на триъгълник . У;УПР;;
15;Приложение на векторите в аналитичната геометрия за решаване на триъгълник . У;УПР;;
16;Нормално уравнение на окръжност;НЗ;;
16;Нормално уравнение на окръжност. У;УПР;;
17;Канонично уравнение на елипса.;НЗ;;
17;Канонично уравнение на елипса. У;УПР;;
18;Канонично уравнение на хипербола и парабола. У;УПР;;
18;Канонично уравнение на хипербола и парабола. У;УПР;;
19;Обобщение на темата „Аналитична геометрия в равнината“;НЗ;;
19;Обобщение на темата „Аналитична геометрия в равнината“;НЗ;;
20;Тест върху темата „Аналитична геометрия в равнината“;НЗ;;
20;Тест върху темата „Аналитична геометрия в равнината“;НЗ;;
21;Стереометрия;НЗ;;
21;Стереометрия. У;УПР;;
22;Първични понятия и аксиоми в стереометрията. Успоредност в пространството;НЗ;;
22;Първични понятия и аксиоми в стереометрията. Успоредност в пространството. У;УПР;;
23;Перпендикулярност в пространството;НЗ;;
23;Перпендикулярност в пространството. У;УПР;;
24;Перпендикуляр и наклонена;НЗ;;
24;Перпендикуляр и наклонена .У;УПР;;
25;Двустенен ъгъл. Перпендикулярност на две равнини;НЗ;;
25;Двустенен ъгъл. Перпендикулярност на две равнини. У;УПР;;
26;Многостен;НЗ;;
26;Многостен. У;УПР;;
27;Сечение на многостен с равнина;НЗ;;
27;Сечение на многостен с равнина. У;УПР;;
28;Построяване на сечение с равнина;НЗ;;
28;Построяване на сечение с равнина. У;УПР;;
29;Ос на кръстосани прави;НЗ;;
29;Ос на кръстосани прави. У;УПР;;
30;Ротационни тела;НЗ;;
30;Ротационни тела. У;УПР;;
31;Обобщение на темата „Стереометрия“;ОС;;
31;Обобщение на темата „Стереометрия“;ОС;;
32;Тест върху темата „Стереометрия“;НЗ;;
32;Тест върху темата „Стереометрия“;УПР;;
33;Проекти;УПР;;
33;Проекти;НЗ;;
34;Проекти;НЗ;;
34;Проекти;НЗ;;
35;Проекти;НЗ;;
35;Проекти;НЗ;;
36;Годишен П;ОС;;
36;Годишен П;ОС;;
